,Dataset,Fold,Method,Metric,Patient,Performance
340,V-23_24,2,MMSBM,Precision,25,0.6999999992999999
341,V-23_24,2,MMSBM,Accuracy,25,0.7916666666666667
342,V-23_24,4,MMSBM,Recall,25,0.9
343,V-23_24,4,MMSBM,Precision,25,0.8999999991
344,V-23_24,4,MMSBM,Accuracy,25,0.9130434782608696
345,V-23_24,1,MMSBM,Recall,26,0.625
346,V-23_24,1,MMSBM,Precision,26,0.6249999992187499
347,V-23_24,1,MMSBM,Accuracy,26,0.75
348,V-23_24,0,MMSBM,Recall,26,0.7142857142857143
349,V-23_24,0,MMSBM,Precision,26,0.8333333319444445
350,V-23_24,0,MMSBM,Accuracy,26,0.875
351,V-23_24,3,MMSBM,Recall,26,0.25
352,V-23_24,3,MMSBM,Precision,26,0.9999999900000002
353,V-23_24,3,MMSBM,Accuracy,26,0.8695652173913043
354,V-23_24,2,MMSBM,Recall,26,0.5
355,V-23_24,2,MMSBM,Precision,26,0.9999999900000002
356,V-23_24,2,MMSBM,Accuracy,26,0.9583333333333333
357,V-23_24,4,MMSBM,Recall,26,0.7142857142857143
358,V-23_24,4,MMSBM,Precision,26,0.9999999980000001
359,V-23_24,4,MMSBM,Accuracy,26,0.9130434782608695
360,V-23_24,1,MMSBM,Recall,27,0.5
361,V-23_24,1,MMSBM,Precision,27,0.6666666655555555
362,V-23_24,1,MMSBM,Accuracy,27,0.75
363,V-23_24,0,MMSBM,Recall,27,0.2857142857142857
364,V-23_24,0,MMSBM,Precision,27,0.3999999992
365,V-23_24,0,MMSBM,Accuracy,27,0.6666666666666667
366,V-23_24,3,MMSBM,Recall,27,0.0
367,V-23_24,3,MMSBM,Precision,27,0.0
368,V-23_24,3,MMSBM,Accuracy,27,0.8695652173913043
369,V-23_24,2,MMSBM,Recall,27,0.6
370,V-23_24,2,MMSBM,Precision,27,0.5999999988
371,V-23_24,2,MMSBM,Accuracy,27,0.8333333333333334
372,V-23_24,4,MMSBM,Recall,27,0.42857142857142855
373,V-23_24,4,MMSBM,Precision,27,0.5999999988
374,V-23_24,4,MMSBM,Accuracy,27,0.7391304347826088
375,V-23_24,1,MMSBM,Recall,20,0.625
376,V-23_24,1,MMSBM,Precision,20,0.7142857132653061
377,V-23_24,1,MMSBM,Accuracy,20,0.7916666666666667
378,V-23_24,0,MMSBM,Recall,20,0.6
379,V-23_24,0,MMSBM,Precision,20,0.8181818174380164
380,V-23_24,0,MMSBM,Accuracy,20,0.6666666666666667
381,V-23_24,3,MMSBM,Recall,20,0.45454545454545453
